rank,xc_utm,yc_utm,zmean_m,ponding_m,basins,manholes,mean_pci,s_pond,s_basin_deficit,s_pci,priority
33,328781.21,4695800.92,-18.41,1.415,2,5,,0.8,0.333,0.5,60.0
34,328331.21,4695750.92,-21.96,2.265,7,5,71.5,1.0,0.125,0.285,59.4
35,328431.21,4695850.92,-24.64,0.612,0,1,,0.346,1.0,0.5,57.3
36,328231.21,4696050.92,-10.14,0.611,0,3,,0.346,1.0,0.5,57.3
37,328531.21,4695700.92,-24.56,1.12,1,2,,0.633,0.5,0.5,56.7
38,328681.21,4695150.92,-23.33,0.805,0,0,82.9,0.456,1.0,0.171,56.2
39,328331.21,4695700.92,-17.82,1.727,6,5,84.9,0.977,0.143,0.151,56.1
40,328781.21,4695550.92,-20.5,1.097,1,6,,0.621,0.5,0.5,56.0
41,328381.21,4695500.92,-18.16,1.353,3,0,,0.765,0.25,0.5,55.8
42,328681.21,4695450.92,-23.93,0.755,0,1,78.4,0.427,1.0,0.216,55.7
43,328731.21,4695700.92,-19.23,1.347,3,6,,0.762,0.25,0.5,55.6
44,328531.21,4695750.92,-21.76,1.069,1,0,,0.605,0.5,0.5,55.2
45,328781.21,4695350.92,-14.72,1.453,4,18,65.8,0.822,0.2,0.342,53.9
46,328681.21,4695850.92,-21.37,1.42,2,3,81.2,0.803,0.333,0.188,53.9
47,328281.21,4695750.92,-15.7,1.23,3,2,,0.696,0.25,0.5,52.3
48,328581.21,4695950.92,-23.71,1.131,2,3,,0.64,0.333,0.5,52.0
49,328331.21,4695950.92,-10.19,0.51,0,3,62.5,0.288,1.0,0.375,51.9
50,328731.21,4695750.92,-21.69,1.453,3,6,84.4,0.821,0.25,0.156,51.7
51,328431.21,4695500.92,-18.34,0.911,1,2,,0.515,0.5,0.5,50.8
52,328731.21,4695250.92,-22.07,1.262,2,5,75.3,0.714,0.333,0.247,50.6
53,328631.21,4695450.92,-22.79,1.076,2,4,,0.609,0.333,0.5,50.4
54,328781.21,4695500.92,-21.26,1.243,5,17,,0.703,0.167,0.5,50.1
55,328881.21,4695250.92,-19.52,0.345,0,4,,0.195,1.0,0.5,49.8
56,328331.21,4695800.92,-18.85,1.318,4,3,68.3,0.745,0.2,0.317,49.6
57,328881.21,4695400.92,-22.32,1.471,4,5,91.2,0.832,0.2,0.088,49.4
58,328481.21,4695500.92,-22.55,1.113,3,3,,0.629,0.25,0.5,49.0
59,328481.21,4695600.92,-23.73,1.026,2,9,,0.58,0.333,0.5,49.0
60,328831.21,4695250.92,-21.22,0.832,1,5,,0.47,0.5,0.5,48.5
61,328231.21,4696100.92,-15.6,0.385,0,3,65.6,0.218,1.0,0.344,47.8
62,328531.21,4695650.92,-22.66,0.885,1,5,64.3,0.501,0.5,0.357,47.2
63,328831.21,4695350.92,-13.71,1.296,5,14,73.2,0.733,0.167,0.268,47.0
64,328781.21,4695450.92,-19.49,1.164,2,4,81.1,0.658,0.333,0.189,46.7
65,328731.21,4695550.92,-23.25,0.966,1,5,78.2,0.546,0.5,0.218,46.7
66,328331.21,4695650.92,-22.02,1.035,1,3,87.5,0.585,0.5,0.125,46.7
67,328331.21,4696000.92,-12.42,0.757,1,5,,0.428,0.5,0.5,46.4
68,328731.21,4695850.92,-21.24,1.269,3,7,85.9,0.717,0.25,0.141,46.2
69,328881.21,4695200.92,-21.62,0.2,0,6,,0.113,1.0,0.5,45.7
