rank,x0_utm,y0_utm,zmean_ft,ponding_ft,basins,mean_pci,s_pond,s_basin_deficit,s_pci,priority
1486,327284.2,4695575.4,92.5,3.192,1,,0.798,0.5,0.5,64.9
1487,325284.2,4695625.4,26.0,1.994,0,,0.499,1.0,0.5,64.9
1488,325784.2,4695875.4,31.2,3.795,3,,0.949,0.25,0.5,64.9
1489,328134.2,4695875.4,20.8,3.794,3,,0.948,0.25,0.5,64.9
1490,327384.2,4696275.4,39.3,1.996,0,,0.499,1.0,0.5,64.9
1491,328284.2,4693475.4,10.1,1.981,0,,0.495,1.0,0.5,64.8
1492,328284.2,4693725.4,10.4,3.905,4,,0.976,0.2,0.5,64.8
1493,328134.2,4694775.4,24.5,1.982,0,,0.496,1.0,0.5,64.8
1494,328684.2,4695025.4,24.7,1.983,0,,0.496,1.0,0.5,64.8
1495,326484.2,4695175.4,88.1,2.499,0,82.2,0.625,1.0,0.178,64.8
1496,326934.2,4693575.4,19.7,1.973,0,,0.493,1.0,0.5,64.7
1497,327034.2,4693575.4,14.5,1.973,0,,0.493,1.0,0.5,64.7
1498,327084.2,4693575.4,12.6,1.979,0,,0.495,1.0,0.5,64.7
1499,327884.2,4694275.4,45.7,1.973,0,,0.493,1.0,0.5,64.7
1500,326334.2,4696125.4,37.9,3.178,1,,0.794,0.5,0.5,64.7
1501,324634.2,4696525.4,33.3,1.976,0,,0.494,1.0,0.5,64.7
1502,324934.2,4697275.4,63.8,1.975,0,,0.494,1.0,0.5,64.7
1503,328734.2,4693575.4,10.6,1.972,0,,0.493,1.0,0.5,64.6
1504,326434.2,4695525.4,43.4,2.372,0,75.4,0.593,1.0,0.246,64.6
1505,328334.2,4695625.4,7.7,1.969,0,,0.492,1.0,0.5,64.6
1506,324834.2,4697125.4,53.1,1.97,0,,0.492,1.0,0.5,64.6
1507,328284.2,4693675.4,10.1,3.558,2,,0.889,0.333,0.5,64.5
1508,327084.2,4695425.4,69.2,3.998,2,77.3,1.0,0.333,0.227,64.5
1509,328184.2,4695825.4,18.7,3.561,2,,0.89,0.333,0.5,64.5
1510,328584.2,4693725.4,13.8,1.95,0,,0.488,1.0,0.5,64.4
1511,327384.2,4694175.4,19.4,1.955,0,,0.489,1.0,0.5,64.4
1512,327884.2,4694925.4,31.1,1.956,0,,0.489,1.0,0.5,64.4
1513,325684.2,4696225.4,50.3,2.468,0,82.0,0.617,1.0,0.18,64.4
1514,325584.2,4696675.4,29.0,1.954,0,,0.489,1.0,0.5,64.4
1515,328084.2,4694875.4,22.9,1.947,0,,0.487,1.0,0.5,64.3
1516,327434.2,4694925.4,36.4,4.0,6,,1.0,0.143,0.5,64.3
1517,325334.2,4696525.4,29.5,4.0,6,,1.0,0.143,0.5,64.3
1518,324734.2,4697625.4,25.8,1.945,0,,0.486,1.0,0.5,64.3
1519,326684.2,4694025.4,11.6,1.933,0,,0.483,1.0,0.5,64.2
